conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.96E+18,Sun Aug 17 06:31:21 +0000 2025,0,@tana_jkt48v Mau nonton merah putih one for all https://t.co/NZYfZeUj5J,1.96E+18,https://pbs.twimg.com/media/GyiLKfIasAACN4t.jpg,tana_jkt48v,in,,0,0,0,https://x.com/undefined/status/1956967064205435165,1.08E+18,
1.96E+18,Sun Aug 17 06:19:31 +0000 2025,0,Update harga terbaru voucher B1G1 promo Cinepolissss : 1 voc harga 12k/voc Ready jg akun cinepolis 3k/akun 1 paket voc b1g1 + akun cine 15k Sore Istri Dari Masa Depan Weapons Tinggal Meninggal Nobody 2 La tahzan Merah Putih One For All Demon Slayer KNY #zonauang,1.96E+18,,,in,,0,0,0,https://x.com/undefined/status/1956964087549559295,1.22E+18,
1.96E+18,Sun Aug 17 06:15:27 +0000 2025,0,@WawanAja2020 @Goo9le_Fiv3 Ya pernyataan itu benar. Dalam podcast produser menyebut CGV dan Cinemart (Cinépolis) meminta penayangan animasi Merah Putih: One For All. Jadwal menunjukkan film tayang di kedua jaringan bioskop sejak 14 Agustus 2025 meski ada kontroversi kualitas.,1.96E+18,,WawanAja2020,in,,0,0,0,https://x.com/undefined/status/1956963062436757817,1.72E+18,
1.96E+18,Sun Aug 17 06:04:17 +0000 2025,0,anjay merah putih one for all,1.96E+18,,,in,,0,0,0,https://x.com/undefined/status/1956960254304145526,1.23E+18,
1.96E+18,Sun Aug 17 06:02:32 +0000 2025,0,@Benedict_D18 Nntn merah putih one for all sekalian gak si ben,1.96E+18,,Benedict_D18,in,,0,1,0,https://x.com/undefined/status/1956959814057406482,1.75E+18,
1.96E+18,Sun Aug 17 05:53:37 +0000 2025,0,@takenakasei Sei nonton merah putih one for all kah?,1.96E+18,,takenakasei,in,,0,1,0,https://x.com/undefined/status/1956957570326999158,1.59E+18,
1.96E+18,Sun Aug 17 05:46:55 +0000 2025,0,@danskiwong @kegblgnunfaedh danskiwong Nama presenternya adalah Prasidya Puspa Nareswari anchor CNN Indonesia. Dia yang mewawancarai produser film Merah Putih: One for All .,1.96E+18,,danskiwong,in,,0,0,0,https://x.com/undefined/status/1956955880534184116,1.72E+18,
1.96E+18,Sun Aug 17 05:46:42 +0000 2025,3,1.516 sudah nonton: Merah Putih One for All Emang cuma film buat orang-orang yang berani dan tidak takut tekanan hujatan dan ejekan orang sekitarnya buat nonton. Kalian punya masalah sama ketakutan terhadap apa yang dipikirkan orang lain? Bisa dengan memulai nonton film ini. https://t.co/Zg7TKzYBZm,1.96E+18,https://pbs.twimg.com/media/GyiA9BhbAAEkByq.jpg,,in,,0,0,0,https://x.com/undefined/status/1956955826767503651,1.18E+18,
1.96E+18,Sun Aug 17 05:42:54 +0000 2025,0,@HabisNontonFilm kok gaada pilihan film merah putih one for all ya,1.96E+18,,HabisNontonFilm,in,,0,1,0,https://x.com/undefined/status/1956954870604603852,303738902,
1.96E+18,Sun Aug 17 05:32:45 +0000 2025,16,also kemarin kena side quest buat gambar anak dari Merah Putih One For All ga bisa se-curse aslinya wkwkwkwk https://t.co/4BZUBdZpCi,1.96E+18,https://pbs.twimg.com/media/Gyh9kXSbcAEH_dN.jpg,,in,,0,4,1,https://x.com/undefined/status/1956952318638965225,1.51E+18,
